year,batterycosts,chargingstations,incentives,gdp,sales
2011,800,13300,55000.00,7492.26,8159
2012,642,14700,45000.00,8539.47,12791
2013,599,22500,40375.00,9625.04,17642
2014,540,31000,40500.00,10524.21,74763
2015,350,63000,38750.00,11113.53,331090
2016,273,150000,38750.00,11227.08,507000
2017,209,213900,38750.00,12265.32,777000
2018,179,331300,38750.00,13841.90,1256000
2019,158,516000,13250.00,14731.81,1204000
2020,143,1000000,11800.00,15222.16,1367000
2021,131,1410000,9440.00,16834.59,0
2022,121,2036000,6608.00,18240.57,0
2023,112,2833000,0,19745.80,0
2024,104,3818000,0,21369.44,0
2025,96,5000000,0,23089.16,0
2026,90,6400000,0,24243.62,0
2027,84,8000000,0,25455.80,0
2028,79,9810000,0,26728.59,0
2029,74,11820000,0,28065.02,0
2030,70,14000000,0,29468.27,0
2031,66,16320000,0,30411.25,0
2032,63,18700000,0,31384.41,0
2033,61,21200000,0,32388.72,0
2034,59,23700000,0,33425.15,0
2035,57,26000000,0,34494.76,0
